               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10588,            0.026156,             0.05783,           0.0036381,                   1,             0.09723,            0.036879,            0.058296,             0.01653,            0.052568,              0.0766,              0.0026,              0.0026
                   1,            0.067433,            0.023213,             0.05086,             0.34361,             0.04321,            0.028713,           0.0049325,            0.058938,            0.012576,            0.049706,            0.052248,           0.0052475,           0.0052475
                   2,            0.060719,             0.01984,            0.049091,             0.56337,             0.13252,             0.12181,            0.022866,            0.056809,             0.01026,            0.048077,            0.027842,           0.0078416,           0.0078416
                   3,            0.058486,            0.017609,            0.046646,             0.46326,             0.20025,             0.28325,             0.10878,            0.063482,           0.0084032,            0.040695,            0.009703,            0.009703,            0.009703
                   4,            0.054159,            0.017924,            0.044753,             0.53392,             0.52003,             0.51518,             0.24655,            0.044305,            0.010953,             0.03954,            0.009703,            0.009703,            0.009703
                   5,            0.051094,            0.016204,            0.041764,             0.69282,              0.6438,              0.6647,             0.27398,            0.042388,           0.0079104,            0.037692,            0.009604,            0.009604,            0.009604
                   6,            0.046096,            0.014241,            0.037426,             0.73469,             0.70161,             0.76864,             0.42669,            0.044714,           0.0071325,            0.031933,            0.009505,            0.009505,            0.009505
                   7,             0.04636,            0.012027,            0.034331,             0.77634,             0.71178,             0.81674,             0.40419,            0.036356,           0.0061975,            0.026987,            0.009406,            0.009406,            0.009406
                   8,            0.042503,            0.010816,            0.028299,             0.76295,             0.81899,             0.83838,             0.46594,            0.035945,           0.0056477,            0.024187,            0.009307,            0.009307,            0.009307
                   9,             0.04472,           0.0095937,            0.024961,             0.78875,             0.83736,             0.92074,             0.52843,            0.037598,           0.0051928,            0.019857,            0.009208,            0.009208,            0.009208
                  10,            0.042306,           0.0092327,            0.021458,             0.94305,             0.86097,             0.93329,             0.57108,            0.031817,           0.0050306,            0.016728,            0.009109,            0.009109,            0.009109
